assessment_id,assessment_title,tool_version,tool_release_date,scenario,submitter_unit_id,L1,submitter_org_id,L2,L3,L4,L5,L6,L7,scenario_id,L8,spec_id,distribution_id,P1,P2,sdo_id,P3,P4,P5,P6,P7,P8,P9,P10,C1,C2,C3,C4,C5,assessment_date,io_spec_type,criterion_camss_id,criterion_sha_id,score_id,score,statement_id,statement
72c899d90182948bda44c000e3f74cdc46233325511ab6c2a6212e861520c64a,Multipurpose Internet Mail Extensions (MIME),3.1.0,31/03/2020,EIF,5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2020-08-31,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),89b586243efc375b64830c6b29be46357c67975d881a7612e648e783a8f3d030,c74d31f5-68e7-41ed-94e0-b877ff58cccc,Multipurpose Internet Mail Extensions (MIME),https://tools.ietf.org/html/rfc2045,888cf0b93c3579f6c2782f5252e66631753f4654323c600c5df8c573d796c37b,IETF (https://www.ietf.org/),,,,,,,,,,,,,2020-08-31,Generic Specification,A1,8eb17470327d32b3bb523447fe72ee5c60ddb03e81dae318b485fbe05f48a844,a572e03c-f05b-4e6e-877f-8d17334cdcb0,1,47777c1e-8f2c-4aa9-8349-2d82ba401243,"MIME is included in 3 national catalogues of recommended specifications. They belong to the Netherlands, Spain and Sweden. The National Interoperability Framework (NIF) of these Member States is fully aligned with at least 4 out of 5 sections of the European Interoperability Framework (EIF) according to the National Interoperability Framework Observatory (NIFO) factsheets. 
 
CAMSS List of standards:
https://joinup.ec.europa.eu/collection/common-assessment-method-standards-and-specifications-camss/camss-list-standards

National Interoperability Framework Observatory:
https://joinup.ec.europa.eu/collection/national-interoperability-framework-observatory-nifo/nifo-factsheets

The Netherlands Catalogue:
https://www.forumstandaardisatie.nl/open-standaarden/lijst

Spain Catalogue:
https://administracionelectronica.gob.es/pae_Home/pae_Estrategias/pae_Interoperabilidad_Inicio/pae_Normas_tecnicas_de_interoperabilidad.html#CATALOGOESTANDARES

Sweden Catalogue:
http://www.avropa.se/dynamiska-sidor/sok/?query=standards&searchtype=web"
72c899d90182948bda44c000e3f74cdc46233325511ab6c2a6212e861520c64a,Multipurpose Internet Mail Extensions (MIME),3.1.0,31/03/2020,EIF,5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2020-08-31,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),89b586243efc375b64830c6b29be46357c67975d881a7612e648e783a8f3d030,c74d31f5-68e7-41ed-94e0-b877ff58cccc,Multipurpose Internet Mail Extensions (MIME),https://tools.ietf.org/html/rfc2045,888cf0b93c3579f6c2782f5252e66631753f4654323c600c5df8c573d796c37b,IETF (https://www.ietf.org/),,,,,,,,,,,,,2020-08-31,Generic Specification,A2,02333ef99fbcb4f101a106bcf97c9559888756b085b1729b7c2ac9626dc4bc63,b8d1a22b-4b02-4fef-a59f-0ef783e0788c,2,5f691edf-04fb-4bfc-a4b3-e6c0ca78da19,"The purpose of MIME is not related to the publication of public data as open data. Therefore, this criterion is not applicable to this specification. 

MIME reference:
https://tools.ietf.org/html/rfc2045

Tim Berners-Lee 5-star schema for Open Data:   
https://5stardata.info/en/"
72c899d90182948bda44c000e3f74cdc46233325511ab6c2a6212e861520c64a,Multipurpose Internet Mail Extensions (MIME),3.1.0,31/03/2020,EIF,5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2020-08-31,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),89b586243efc375b64830c6b29be46357c67975d881a7612e648e783a8f3d030,c74d31f5-68e7-41ed-94e0-b877ff58cccc,Multipurpose Internet Mail Extensions (MIME),https://tools.ietf.org/html/rfc2045,888cf0b93c3579f6c2782f5252e66631753f4654323c600c5df8c573d796c37b,IETF (https://www.ietf.org/),,,,,,,,,,,,,2020-08-31,Generic Specification,A3,f70d8bc1b4b6e186d69ea3f7f8cc7b2d75314b84e7f481ebe13b4e6ed8b36598,e6a08b2a-0342-4108-a3d6-ba031298d54f,1,facac667-4c9a-475b-8a95-cc1d9b19ec95,"IETF has a formal review and approval so that all the relevant stakeholders can formally appeal or raise objections to the development and approval of specifications.
Each distinct version of an Internet standards-related specification is published as part of the ""Request for Comments"" (RFC) document series. This archival series is the official publication channel for Internet standards documents and other publications.
During the development of a specification, draft versions of the document are made available for informal review and comment by placing them in the IETF's ""Internet-Drafts"" directory, which is replicated on a number of Internet hosts. This makes an evolving working document readily available to a wide audience, facilitating the process of review and revision.

Standard process IETF:
https://www.ietf.org/standards/process/ 

Internet Best Current Practices IETF:
https://tools.ietf.org/html/rfc2026"
72c899d90182948bda44c000e3f74cdc46233325511ab6c2a6212e861520c64a,Multipurpose Internet Mail Extensions (MIME),3.1.0,31/03/2020,EIF,5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2020-08-31,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),89b586243efc375b64830c6b29be46357c67975d881a7612e648e783a8f3d030,c74d31f5-68e7-41ed-94e0-b877ff58cccc,Multipurpose Internet Mail Extensions (MIME),https://tools.ietf.org/html/rfc2045,888cf0b93c3579f6c2782f5252e66631753f4654323c600c5df8c573d796c37b,IETF (https://www.ietf.org/),,,,,,,,,,,,,2020-08-31,Generic Specification,A4,7aa038b5496afb8cb229c692be9a2adc175deb2d5d47e35ad67e027c9eac28ba,478dc32c-2013-4420-a1db-2ec73627e04b,1,9a9dcac0-5bc2-4045-a07a-434f9c654564,"The IETF is a consensus-based group, and authority to act on behalf of the community requires a high degree of consensus and the continued consent of the community. The process of creating and Internet Standard is straightforward: a specification undergoes a period of development and several iterations of review by the Internet community and revision based upon experience, is adopted as a Standard by the appropriate body... and is published. In practice, the process is more complicated, due to (1) the difficulty of creating specifications of high technical quality; (2) the need to consider the interests of all the affected parties; (3) the importance of establishing widespread community consensus; and (4) the difficulty of evaluating the utility of a particular specification for the Internet community. The goals of the Internet Standards Process are:
- Technical excellence;
- prior implementation and testing;
- clear, concise, and easily understood documentation;
- openness and fairness; and 
- timeliness.
The goal of technical competence, the requirement for prior implementation and testing, and the need to allow all interested parties to comment all require significant time and effort. The Internet Standards Process is intended to balance these conflicting goals. The process is believed to be as short and simple as possible without sacrificing technical excellence, thorough testing before adoption of a standard, or openness and fairness.

Standard process IETF:
https://www.ietf.org/standards/process/"
72c899d90182948bda44c000e3f74cdc46233325511ab6c2a6212e861520c64a,Multipurpose Internet Mail Extensions (MIME),3.1.0,31/03/2020,EIF,5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2020-08-31,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),89b586243efc375b64830c6b29be46357c67975d881a7612e648e783a8f3d030,c74d31f5-68e7-41ed-94e0-b877ff58cccc,Multipurpose Internet Mail Extensions (MIME),https://tools.ietf.org/html/rfc2045,888cf0b93c3579f6c2782f5252e66631753f4654323c600c5df8c573d796c37b,IETF (https://www.ietf.org/),,,,,,,,,,,,,2020-08-31,Generic Specification,A5,31bf959b6c4a983ec70eb87e0177f2739575ebce42c7c3b95b9012ef3bfe673e,bf5488d8-8431-4bbb-ae90-880105ff76b3,1,6e1550ba-3e17-4683-a8e4-a77c760b32eb,"MIME is publicly available for implementation and use, and therefore for everyone to study, for free on IETF webpage.

MIME reference:
https://tools.ietf.org/html/rfc2045"
72c899d90182948bda44c000e3f74cdc46233325511ab6c2a6212e861520c64a,Multipurpose Internet Mail Extensions (MIME),3.1.0,31/03/2020,EIF,5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2020-08-31,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),89b586243efc375b64830c6b29be46357c67975d881a7612e648e783a8f3d030,c74d31f5-68e7-41ed-94e0-b877ff58cccc,Multipurpose Internet Mail Extensions (MIME),https://tools.ietf.org/html/rfc2045,888cf0b93c3579f6c2782f5252e66631753f4654323c600c5df8c573d796c37b,IETF (https://www.ietf.org/),,,,,,,,,,,,,2020-08-31,Generic Specification,A6,a81c4b8658f57e819297eb0b7977407f8d814c6fe749c74a8ac497277ca7d9d8,996ab62a-73b1-470a-8c0e-cc9cdad69542,1,9bca07f8-61eb-404a-ade4-b34e031c1bf1,"Like all the IETF standards, MIME is a free and open technical specification, built on IETF standards and licenses from the Open Web Foundation. Therefore, MIME is licensed on a royalty-free basis.
No IPR disclosures have been submitted directly on the MIME specification (RFC 2045).

Intellectual Property Rights in IETF:
https://tools.ietf.org/html/rfc3668"
72c899d90182948bda44c000e3f74cdc46233325511ab6c2a6212e861520c64a,Multipurpose Internet Mail Extensions (MIME),3.1.0,31/03/2020,EIF,5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2020-08-31,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),89b586243efc375b64830c6b29be46357c67975d881a7612e648e783a8f3d030,c74d31f5-68e7-41ed-94e0-b877ff58cccc,Multipurpose Internet Mail Extensions (MIME),https://tools.ietf.org/html/rfc2045,888cf0b93c3579f6c2782f5252e66631753f4654323c600c5df8c573d796c37b,IETF (https://www.ietf.org/),,,,,,,,,,,,,2020-08-31,Generic Specification,A7,1cd71a7b6d54631ba58cc8b0655a443d696f49ec74a0f4cccc871de7789d6a60,5661e04d-545c-4cc4-9d31-3af04c50bbdd,1,0fa99d68-316f-4f7c-b1b5-7aaf4edc486a,"Like all the IETF standards, MIME is a free and open technical specification, built on IETF standards and licenses from the Open Web Foundation. Therefore, MIME is licensed on a royalty-free basis.

Intellectual Property Rights in IETF:
https://tools.ietf.org/html/rfc3668"
72c899d90182948bda44c000e3f74cdc46233325511ab6c2a6212e861520c64a,Multipurpose Internet Mail Extensions (MIME),3.1.0,31/03/2020,EIF,5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2020-08-31,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),89b586243efc375b64830c6b29be46357c67975d881a7612e648e783a8f3d030,c74d31f5-68e7-41ed-94e0-b877ff58cccc,Multipurpose Internet Mail Extensions (MIME),https://tools.ietf.org/html/rfc2045,888cf0b93c3579f6c2782f5252e66631753f4654323c600c5df8c573d796c37b,IETF (https://www.ietf.org/),,,,,,,,,,,,,2020-08-31,Generic Specification,A8,6bedf555bffb837990b9eb353447fa116eb9d2384770b1dd3de46d3c5901d4f4,20838a60-fc7c-4598-9bdf-def5d18bb632,1,a1c25eed-15c9-4ca1-8771-3ebe7dc82317,"The specification was developed in 1991 by the IETF group, and it has become a widely used format for the transaction of different types of files over the internet. It is focused on the transfer via email, and it is supported by numerous mail software. This fact demonstrates the maturity of MIME for its use for the development of services and products.

MIME reference:
https://tools.ietf.org/html/rfc2045"
72c899d90182948bda44c000e3f74cdc46233325511ab6c2a6212e861520c64a,Multipurpose Internet Mail Extensions (MIME),3.1.0,31/03/2020,EIF,5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2020-08-31,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),89b586243efc375b64830c6b29be46357c67975d881a7612e648e783a8f3d030,c74d31f5-68e7-41ed-94e0-b877ff58cccc,Multipurpose Internet Mail Extensions (MIME),https://tools.ietf.org/html/rfc2045,888cf0b93c3579f6c2782f5252e66631753f4654323c600c5df8c573d796c37b,IETF (https://www.ietf.org/),,,,,,,,,,,,,2020-08-31,Generic Specification,A9,d129862d6c9639e131c7d5eef095af16ef94d57ec0d52f955bf909ba8ec688e8,e93cf0fd-8a92-48d9-b02c-6813febca1bb,1,9514c6a9-d837-437e-8df4-3967c469a107,"The specification is widely adopted amongst others like SMTP for the exchange of data over the internet. It allows sharing several file formats, which makes the specification highly reusable. The specification has been implemented and it is supported by numerous mail software as Mailchimp amongst others, demonstrating the market acceptance of MIME.

MIME reference:
https://tools.ietf.org/html/rfc2045"
72c899d90182948bda44c000e3f74cdc46233325511ab6c2a6212e861520c64a,Multipurpose Internet Mail Extensions (MIME),3.1.0,31/03/2020,EIF,5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2020-08-31,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),89b586243efc375b64830c6b29be46357c67975d881a7612e648e783a8f3d030,c74d31f5-68e7-41ed-94e0-b877ff58cccc,Multipurpose Internet Mail Extensions (MIME),https://tools.ietf.org/html/rfc2045,888cf0b93c3579f6c2782f5252e66631753f4654323c600c5df8c573d796c37b,IETF (https://www.ietf.org/),,,,,,,,,,,,,2020-08-31,Generic Specification,A10,21276471c1781fa2c7e78c8e03851e076b840beddbf5cf64f53b54b8855a01b8,8baff00a-3129-4ec9-943e-076d1c5fd31f,0,60c94738-0bbc-4cbc-a5d8-305cad4ed8d2,"Although at the moment of elaborating the assessment the specification is widely used, the specification in itself does not give any innovative solution that can be part of an innovative cutting edge solution.

MIME reference:
https://tools.ietf.org/html/rfc2045"
72c899d90182948bda44c000e3f74cdc46233325511ab6c2a6212e861520c64a,Multipurpose Internet Mail Extensions (MIME),3.1.0,31/03/2020,EIF,5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2020-08-31,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),89b586243efc375b64830c6b29be46357c67975d881a7612e648e783a8f3d030,c74d31f5-68e7-41ed-94e0-b877ff58cccc,Multipurpose Internet Mail Extensions (MIME),https://tools.ietf.org/html/rfc2045,888cf0b93c3579f6c2782f5252e66631753f4654323c600c5df8c573d796c37b,IETF (https://www.ietf.org/),,,,,,,,,,,,,2020-08-31,Generic Specification,A11,b21a3eb972a2119979bc57368474efa809e8dd16cede48bc492e8b64da1abee9,d555b033-d207-4e08-b19c-a8b38f0c9587,1,d7b7cb3d-0dd3-4841-b6c9-618055b81baf,"MIME is maintained and developed by IETF which is an international community developing open standards. 

Developer community IETF: 
https://www.ietf.org/about/"
